Species,MeanGeneCount,pVal,pAdj
Aedes_aegypti,1.9850107066381157,3.5752710677754673e-12,7.508069242328481e-11
Acyrthosiphon_pisum,1.957345971563981,4.216317402102389e-12,8.432634804204778e-11
Nasonia_vitripennis,1.671840354767184,9.932874479262594e-5,0.0016885886614746409
Anopheles_gambiae,1.6296296296296295,4.4630189234846023e-4,0.006694528385226903
Tribolium_castaneum,1.5683760683760684,5.976454516996449e-4,0.008367036323795029
Nomia_melanderi,1.5660377358490567,0.44640387634785633,1
Megachile_rotundata,1.543157894736842,0.22722359145342683,1
Bombyx_mori,1.5119305856832972,0.001609594624196737,0.02092473011455758
Ceratina_calcarata,1.5095948827292112,0.01186216325948101,0.14234595911377212
Vespa_mandarinia,1.5043290043290043,0.16585694260332187,1
Solenopsis_invicta,1.4989339019189765,0.057844974051298834,0.6362947145642872
Bombus_terrestris,1.4842105263157894,0.1584528062319779,1
Drosophila_melanogaster,1.4578059071729959,0.46298423517322174,1
Osmia_bicornis,1.45,NA,NA
Osmia_lignaria,1.4373673036093417,0.9918035041591585,1
Megalopta_genalis,1.4202586206896552,0.5175876899960821,1
Apis_mellifera,1.3864118895966029,0.981974329274159,1
Polistes_dominula,1.332618025751073,0.2873620066549585,1
Eufriesea_mexicana,1.2694736842105263,4.1447477653491294e-4,0.006631596424558607
Habropoda_laboriosa,1.1953781512605042,7.244521234697781e-8,1.3764590345925784e-6
Dufourea_novaeangliae,1.1945031712473573,2.252293578926019e-7,4.054128442066835e-6
